date,value
1/03/1998,106.5
1/02/1998,110.4
1/01/1998,106.6
1/12/1997,102.1
1/11/1997,107.2
1/10/1997,105.6
1/09/1997,106.0
1/08/1997,104.4
1/07/1997,107.1
1/06/1997,104.5
1/05/1997,103.2
1/04/1997,101.4
1/03/1997,100.0
1/02/1997,99.7
1/01/1997,97.4
1/12/1996,96.9
1/11/1996,99.2
1/10/1996,96.5
1/09/1996,94.7
1/08/1996,95.3
1/07/1996,94.7
1/06/1996,92.4
1/05/1996,89.4
1/04/1996,92.7
1/03/1996,93.7
1/02/1996,88.5
1/01/1996,89.3
1/12/1995,91.0
1/11/1995,88.2
1/10/1995,90.2
1/09/1995,88.9
1/08/1995,96.2
1/07/1995,94.4
1/06/1995,92.7
1/05/1995,89.8
1/04/1995,92.5
1/03/1995,90.3
1/02/1995,95.1
1/01/1995,97.6
1/12/1994,95.1
1/11/1994,91.6
1/10/1994,92.7
1/09/1994,91.5
1/08/1994,91.7
1/07/1994,89.0
1/06/1994,91.2
1/05/1994,92.8
1/04/1994,92.6
1/03/1994,91.5
1/02/1994,93.2
1/01/1994,94.3
1/12/1993,88.2
1/11/1993,81.2
1/10/1993,82.7
1/09/1993,77.9
1/08/1993,77.3
1/07/1993,77.0
1/06/1993,81.5
1/05/1993,80.3
1/04/1993,85.6
1/03/1993,85.9
1/02/1993,86.6
1/01/1993,89.3
1/12/1992,91.0
1/11/1992,85.3
1/10/1992,73.3
1/09/1992,75.6
1/08/1992,76.1
1/07/1992,76.6
1/06/1992,80.4
1/05/1992,79.2
1/04/1992,77.2
1/03/1992,76.0
1/02/1992,68.8
1/01/1992,67.5
1/12/1991,68.2
1/11/1991,69.1
1/10/1991,78.3
1/09/1991,83.0
1/08/1991,82.0
1/07/1991,82.9
1/06/1991,82.1
1/05/1991,78.3
1/04/1991,81.8
1/03/1991,87.7
1/02/1991,70.4
1/01/1991,66.8
1/12/1990,65.5
1/11/1990,66.0
1/10/1990,63.9
1/09/1990,72.8
1/08/1990,76.4
1/07/1990,88.2
1/06/1990,88.3
1/05/1990,90.6
1/04/1990,93.9
1/03/1990,91.3
1/02/1990,89.5
1/01/1990,93.0
1/12/1989,90.5
1/11/1989,90.9
1/10/1989,93.9
1/09/1989,95.8
1/08/1989,89.6
1/07/1989,92.0
1/06/1989,90.6
1/05/1989,90.7
1/04/1989,91.5
1/03/1989,94.3
1/02/1989,95.4
1/01/1989,97.9
1/12/1988,91.9
1/11/1988,93.0
1/10/1988,94.1
1/09/1988,97.3
1/08/1988,97.4
1/07/1988,93.4
1/06/1988,94.7
1/05/1988,94.8
1/04/1988,91.2
1/03/1988,94.6
1/02/1988,91.6
1/01/1988,90.8
1/12/1987,86.8
1/11/1987,83.1
1/10/1987,89.3
1/09/1987,93.6
1/08/1987,94.4
1/07/1987,93.7
1/06/1987,91.5
1/05/1987,91.1
1/04/1987,92.8
1/03/1987,90.8
1/02/1987,90.2
1/01/1987,90.4
1/12/1986,89.1
1/11/1986,91.4
1/10/1986,95.6
1/09/1986,91.9
1/08/1986,94.9
1/07/1986,97.7
1/06/1986,99.3
1/05/1986,94.8
1/04/1986,96.2
1/03/1986,95.1
1/02/1986,95.9
1/01/1986,95.6
1/12/1985,93.9
1/11/1985,90.9
1/10/1985,88.4
1/09/1985,92.1
1/08/1985,92.4
1/07/1985,94.0
1/06/1985,96.5
1/05/1985,91.8
1/04/1985,94.6
1/03/1985,93.7
1/02/1985,93.7
1/01/1985,96.0
1/12/1984,92.9
1/11/1984,95.7
1/10/1984,96.3
1/09/1984,100.9
1/08/1984,99.1
1/07/1984,96.6
1/06/1984,95.5
1/05/1984,98.1
1/04/1984,96.1
1/03/1984,101.0
1/02/1984,97.4
1/01/1984,100.1
1/12/1983,94.2
1/11/1983,91.1
1/10/1983,89.3
1/09/1983,89.9
1/08/1983,90.9
1/07/1983,92.8
1/06/1983,92.2
1/05/1983,93.3
1/04/1983,89.1
1/03/1983,80.8
1/02/1983,74.6
1/01/1983,70.4
1/12/1982,71.9
1/11/1982,72.1
1/10/1982,73.4
1/09/1982,69.3
1/08/1982,65.4
1/07/1982,65.4
1/06/1982,65.7
1/05/1982,67.5
1/04/1982,65.5
1/03/1982,62.0
1/02/1982,66.5
1/01/1982,71.0
1/12/1981,64.3
1/11/1981,62.5
1/10/1981,70.3
1/09/1981,73.1
1/08/1981,77.2
1/07/1981,74.1
1/06/1981,73.1
1/05/1981,76.3
1/04/1981,72.4
1/03/1981,66.5
1/02/1981,66.9
1/01/1981,71.4
1/12/1980,64.5
1/11/1980,76.7
1/10/1980,75.0
1/09/1980,73.7
1/08/1980,67.3
1/07/1980,62.3
1/06/1980,58.7
1/05/1980,51.7
